run_dir,alpha,c_upd,roles,notes,seed,eval_return_end_mean,I_R_short,learned_0p5,eval_dbar_post,eval_occupied_post_mean,eval_CSR_mean,mean_update_fraction,final_VarTD,wall_seconds
runs/stageB_completion_bridge_32seed/a0p5_c1p05_seed51,0.5,1.05,gateoff_control,diagnostic gate-off control beyond physical domain,51,-58.260506,-6.275130561712385,0,2.756351,0.04,0.0,0.0,0.192866,17.59
runs/stageB_completion_bridge_32seed/a0p5_c1p05_seed52,0.5,1.05,gateoff_control,diagnostic gate-off control beyond physical domain,52,-32.18895,-0.9983069430313153,0,1.018505,0.11,0.0,0.0,0.169527,21.28
runs/stageB_completion_bridge_32seed/a0p5_c1p05_seed53,0.5,1.05,gateoff_control,diagnostic gate-off control beyond physical domain,53,-42.496536,-3.0845388985151514,0,1.63671,0.09,0.0,0.0,0.131115,17.35
runs/stageB_completion_bridge_32seed/a0p5_c1p05_seed54,0.5,1.05,gateoff_control,diagnostic gate-off control beyond physical domain,54,-40.854145,-2.7521226967391925,0,1.738216,0.07,0.0,0.0,0.159803,21.07
runs/stageB_completion_bridge_32seed/a0p5_c1p05_seed55,0.5,1.05,gateoff_control,diagnostic gate-off control beyond physical domain,55,-33.998787,-1.364613834248813,0,1.248932,0.14,0.0,0.0,0.215461,17.58
runs/stageB_completion_bridge_32seed/a0p5_c1p05_seed56,0.5,1.05,gateoff_control,diagnostic gate-off control beyond physical domain,56,-51.697968,-4.9468878010236095,0,2.368411,0.05,0.0,0.0,0.176114,21.09
runs/stageB_completion_bridge_32seed/a0p5_c1p05_seed57,0.5,1.05,gateoff_control,diagnostic gate-off control beyond physical domain,57,-30.175451,-0.5907793263677485,0,0.97155,0.13,0.0,0.0,0.143594,17.69
runs/stageB_completion_bridge_32seed/a0p5_c1p05_seed58,0.5,1.05,gateoff_control,diagnostic gate-off control beyond physical domain,58,-38.305313,-2.2362448988183425,0,1.522644,0.05,0.0,0.0,0.175874,21.02
runs/stageB_completion_bridge_32seed/a0p5_c1p05_seed59,0.5,1.05,gateoff_control,diagnostic gate-off control beyond physical domain,59,-34.526134,-1.4713476672751424,0,1.219258,0.11,0.0,0.0,0.219154,17.73
runs/stageB_completion_bridge_32seed/a0p5_c1p05_seed60,0.5,1.05,gateoff_control,diagnostic gate-off control beyond physical domain,60,-49.602921,-4.522855054690904,0,2.066565,0.03,0.0,0.0,0.187593,21.14
