run_dir,alpha,c_upd,candidate_type,stageB_classification,stageB_in_domain_bracket_lo,stageB_in_domain_bracket_hi_or_gateoff,seed,eval_return_end_mean,I_R_full,learned_R_full_0p5,eval_dbar_post,eval_occupied_post_mean,eval_CSR_mean,mean_update_fraction,final_executed_updates_mean,final_energy,final_VarTD,wall_seconds
runs/stageC_subset_refine_full_32seed/a0p0_c0p56_seed44,0.0,0.560,in_domain,in_domain_bracket_ready,0.500,0.600,44,-24.145353,1.2560578485170493,1,0.554091,0.26,0.0,0.003205,1.0,0.44,0.145095,21.23
runs/stageC_subset_refine_full_32seed/a0p0_c0p56_seed45,0.0,0.560,in_domain,in_domain_bracket_ready,0.500,0.600,45,-26.317577,0.3790832442453466,0,0.691945,0.16,0.0,0.003205,1.0,0.44,0.134612,21.15
runs/stageC_subset_refine_full_32seed/a0p0_c0p56_seed46,0.0,0.560,in_domain,in_domain_bracket_ready,0.500,0.600,46,-28.051998,-0.3211406599724191,0,0.801128,0.25,0.0,0.003205,1.0,0.44,0.152691,21.59
runs/stageC_subset_refine_full_32seed/a0p0_c0p56_seed47,0.0,0.560,in_domain,in_domain_bracket_ready,0.500,0.600,47,-24.031342,1.3020865967527848,1,0.542726,0.27,0.0,0.003205,1.0,0.44,0.206512,21.66
runs/stageC_subset_refine_full_32seed/a0p0_c0p56_seed48,0.0,0.560,in_domain,in_domain_bracket_ready,0.500,0.600,48,-31.453136,-1.694254874539356,0,1.044795,0.15,0.0,0.003205,1.0,0.44,0.19475,22.0
runs/stageC_subset_refine_full_32seed/a0p0_c0p56_seed49,0.0,0.560,in_domain,in_domain_bracket_ready,0.500,0.600,49,-24.142195,1.257332802573486,1,0.628998,0.23,0.0,0.003205,1.0,0.44,0.175781,21.37
runs/stageC_subset_refine_full_32seed/a0p0_c0p56_seed50,0.0,0.560,in_domain,in_domain_bracket_ready,0.500,0.600,50,-24.887733,0.9563427147558776,1,0.568347,0.37,0.0,0.003205,1.0,0.44,0.146179,20.86
runs/stageC_subset_refine_full_32seed/a0p0_c0p56_seed51,0.0,0.560,in_domain,in_domain_bracket_ready,0.500,0.600,51,-25.716953,0.6215683630526552,1,0.659322,0.19,0.01,0.003205,1.0,0.44,0.130641,21.23
runs/stageC_subset_refine_full_32seed/a0p0_c0p56_seed52,0.0,0.560,in_domain,in_domain_bracket_ready,0.500,0.600,52,-25.97551,0.5171832155003409,1,0.739611,0.15,0.0,0.003205,1.0,0.44,0.17542,21.39
runs/stageC_subset_refine_full_32seed/a0p0_c0p56_seed53,0.0,0.560,in_domain,in_domain_bracket_ready,0.500,0.600,53,-24.036224,1.3001156259790265,1,0.548215,0.31,0.01,0.003205,1.0,0.44,0.148374,21.3
runs/stageC_subset_refine_full_32seed/a0p0_c0p56_seed54,0.0,0.560,in_domain,in_domain_bracket_ready,0.500,0.600,54,-24.373903,1.1637871868328509,1,0.613781,0.3,0.02,0.003205,1.0,0.44,0.136423,21.96
runs/stageC_subset_refine_full_32seed/a0p0_c0p56_seed55,0.0,0.560,in_domain,in_domain_bracket_ready,0.500,0.600,55,-25.549818,0.689044438487303,1,0.589931,0.27,0.0,0.003205,1.0,0.44,0.118932,21.42
runs/stageC_subset_refine_full_32seed/a0p0_c0p56_seed56,0.0,0.560,in_domain,in_domain_bracket_ready,0.500,0.600,56,-23.205069,1.635671179740262,1,0.573247,0.28,0.0,0.003205,1.0,0.44,0.150122,21.53
runs/stageC_subset_refine_full_32seed/a0p0_c0p56_seed57,0.0,0.560,in_domain,in_domain_bracket_ready,0.500,0.600,57,-24.288401,1.19830622474719,1,0.610295,0.34,0.0,0.003205,1.0,0.44,0.16779,21.64
